instance_name,seed,method,n_cells,K,k_max,delta_bar,lambda_penalty,theta1,theta2,theta3,P1,P2,P3,reward,n_packs,avg_delta,avg_phi,reward_per_pack,utilization_rate,positive_pack_ratio,runtime,leftover,tier_P1,tier_P2,tier_P3,tier_P0,tier_distribution,n_columns,experiment_type,replication_id
base,42,RRP_KMEANS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,637.8498495283088,38,3.27106055114164,156.18309485342493,16.785522356008126,0.6333333333333333,0.42105263157894735,0.7524712999584153,88,0,2,14,22,"P1:0, P2:2, P3:14, P0:22",,base,1
base,42,RRP_KMEANS_VNS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1006.4232213088691,38,3.8724620363753117,160.76849548856384,26.48482161339129,0.6333333333333333,0.631578947368421,0.7085246000206098,88,0,4,20,14,"P1:0, P2:4, P3:20, P0:14",,base,1
base,42,RRP_GRASP,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,961.134622474899,21,5.606226430962017,169.00678351480624,45.76831535594757,0.35,1.0,28.05118049995508,156,0,6,15,0,"P1:0, P2:6, P3:15, P0:0",,base,1
base,43,RRP_KMEANS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,558.5810674825364,35,3.5096532867122106,155.21561007830476,15.95945907092961,0.5833333333333334,0.4,0.6506226999917999,100,0,2,12,21,"P1:0, P2:2, P3:12, P0:21",,base,2
base,43,RRP_KMEANS_VNS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1177.378780427589,38,4.348485240653213,162.3016775147255,30.983652116515497,0.6333333333333333,0.7105263157894737,0.9463381000095978,88,1,4,22,11,"P1:1, P2:4, P3:22, P0:11",,base,2
base,43,RRP_GRASP,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1286.930866299391,28,7.362080978614936,170.49507331246605,45.96181665354968,0.4666666666666667,1.0,24.712834700010717,128,1,7,20,0,"P1:1, P2:7, P3:20, P0:0",,base,2
base,44,RRP_KMEANS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,840.976829762201,37,5.352603796637781,159.44637424032533,22.729103507086514,0.6166666666666667,0.5135135135135135,0.6696833999594674,92,0,6,13,18,"P1:0, P2:6, P3:13, P0:18",,base,3
base,44,RRP_KMEANS_VNS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1308.2454764752724,38,4.302869659196193,164.21068874970203,34.42751253882296,0.6333333333333333,0.7368421052631579,0.6628892999142408,88,0,9,19,10,"P1:0, P2:9, P3:19, P0:10",,base,3
base,44,RRP_GRASP,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1237.064311065245,25,7.434855114780389,171.03747123778405,49.4825724426098,0.4166666666666667,1.0,83.00793179997709,140,0,11,14,0,"P1:0, P2:11, P3:14, P0:0",,base,3
base,45,RRP_KMEANS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,669.1679037187337,38,4.780636646382446,156.51995147842138,17.60968167680878,0.6333333333333333,0.42105263157894735,9.171513500041328,88,0,4,12,22,"P1:0, P2:4, P3:12, P0:22",,base,4
base,45,RRP_KMEANS_VNS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1269.0141614256768,40,6.049291928716157,163.61775754558502,31.72535403564192,0.6666666666666666,0.7,6.467206600005738,80,1,7,20,12,"P1:1, P2:7, P3:20, P0:12",,base,4
base,45,RRP_GRASP,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1269.5658742710712,26,5.418009671456067,171.0907208355649,48.82945670273351,0.43333333333333335,1.0,183.6325446999399,136,1,8,17,0,"P1:1, P2:8, P3:17, P0:0",,base,4
base,46,RRP_KMEANS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,642.7328317117116,37,4.71714423179937,157.15798123871983,17.371157613830043,0.6166666666666667,0.43243243243243246,7.077542299986817,92,0,3,13,21,"P1:0, P2:3, P3:13, P0:21",,base,5
base,46,RRP_KMEANS_VNS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1387.6147043352894,39,4.224886957164653,165.21046740832048,35.57986421372537,0.65,0.7692307692307693,7.821436199941672,84,0,9,21,9,"P1:0, P2:9, P3:21, P0:9",,base,5
base,46,RRP_GRASP,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1392.5306327944186,28,6.247811943255843,171.38025863221725,49.73323688551495,0.4666666666666667,1.0,67.7951277999673,128,0,12,16,0,"P1:0, P2:12, P3:16, P0:0",,base,5
base,47,RRP_KMEANS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,785.8699795631545,40,4.706501021842276,157.6401492856866,19.646749489078864,0.6666666666666666,0.475,0.43524939997587353,80,0,4,15,21,"P1:0, P2:4, P3:15, P0:21",,base,6
base,47,RRP_KMEANS_VNS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1199.3632930344106,40,4.531835348279472,163.42708869646478,29.984082325860264,0.6666666666666666,0.675,0.6736970000201836,80,0,7,20,13,"P1:0, P2:7, P3:20, P0:13",,base,6
base,47,RRP_GRASP,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1232.7776088172827,27,6.460917865386441,170.3046062620873,45.658429956195654,0.45,1.0,23.66599279991351,132,0,8,19,0,"P1:0, P2:8, P3:19, P0:0",,base,6
base,48,RRP_KMEANS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,866.6696178441113,39,4.786173443891734,159.82103956307068,22.22229789343875,0.65,0.46153846153846156,0.4194475000258535,84,1,6,11,21,"P1:1, P2:6, P3:11, P0:21",,base,7
base,48,RRP_KMEANS_VNS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1242.6079213212174,38,5.652214667304352,164.56231014083167,32.70020845582151,0.6333333333333333,0.7105263157894737,0.6520847000647336,88,1,7,19,11,"P1:1, P2:7, P3:19, P0:11",,base,7
base,48,RRP_GRASP,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1274.6872776159962,26,7.331747875692605,170.90022848655946,49.026433754461394,0.43333333333333335,1.0,26.972414400079288,136,1,9,16,0,"P1:1, P2:9, P3:16, P0:0",,base,7
base,49,RRP_KMEANS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,799.9312345504857,39,5.131731561513555,160.01399273790847,20.5110572961663,0.65,0.46153846153846156,1.3879882999463007,84,0,6,12,21,"P1:0, P2:6, P3:12, P0:21",,base,8
base,49,RRP_KMEANS_VNS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1247.9995162384746,38,5.368446513764507,164.91328220178494,32.84209253259144,0.6333333333333333,0.7105263157894737,5.087212500046007,88,0,9,18,11,"P1:0, P2:9, P3:18, P0:11",,base,8
base,49,RRP_GRASP,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1330.2124014314547,26,7.675969120657332,172.50024381307384,51.162015439671336,0.43333333333333335,1.0,41.955654399935156,136,1,11,14,0,"P1:1, P2:11, P3:14, P0:0",,base,8
base,50,RRP_KMEANS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,731.7819649283599,39,5.036822311366165,158.45491311962925,18.763640126368202,0.65,0.4358974358974359,0.49711029999889433,84,1,3,13,22,"P1:1, P2:3, P3:13, P0:22",,base,9
base,50,RRP_KMEANS_VNS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1321.2197371209945,40,5.4390131439502785,164.27069431654803,33.03049342802486,0.6666666666666666,0.725,0.7257358999922872,80,1,7,21,11,"P1:1, P2:7, P3:21, P0:11",,base,9
base,50,RRP_GRASP,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1310.8698836552826,28,5.65215116747983,171.29385312367108,46.81678155911724,0.4666666666666667,1.0,137.972302799928,128,1,7,20,0,"P1:1, P2:7, P3:20, P0:0",,base,9
base,51,RRP_KMEANS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,731.0548580967272,38,4.681323258066987,156.37511495200732,19.23828573938756,0.6333333333333333,0.42105263157894735,0.6568366000428796,88,0,6,10,22,"P1:0, P2:6, P3:10, P0:22",,base,10
base,51,RRP_KMEANS_VNS,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1111.2119758903832,38,4.673053900506141,161.85808065793535,29.242420418167978,0.6333333333333333,0.631578947368421,0.5826522000133991,88,0,8,16,14,"P1:0, P2:8, P3:16, P0:14",,base,10
base,51,RRP_GRASP,240,4,40,25.0,0.5,190.0,175.0,160.0,100.0,70.0,40.0,1217.1575544454386,25,6.627395644364929,171.3357770244437,48.686302177817545,0.4166666666666667,1.0,36.15256550000049,140,1,8,16,0,"P1:1, P2:8, P3:16, P0:0",,base,10
